,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
217,1203916.0,758599.0,1203916.0,1333880.0,769837.0,1333880.0,1257403.0,757766.0,1257403.0
218,1117918.0,730041.0,1117918.0,1136020.0,738536.0,1136020.0,1166101.0,728959.0,1166101.0
219,1119064.0,767158.0,1119064.0,1236081.0,750351.0,1236081.0,1115941.0,753907.0,1115941.0
220,1151968.0,763621.0,1151968.0,1240908.0,740013.0,1240908.0,1189772.0,745519.0,1189772.0
221,1133582.0,773236.0,1133582.0,1253855.0,771441.0,1253855.0,1146161.0,774417.0,1146161.0
222,1155884.0,778408.0,1155884.0,1171532.0,775779.0,1171532.0,1169818.0,775999.0,1169818.0
223,1138998.0,775837.0,1138998.0,1206449.0,761004.0,1206449.0,1291998.0,778601.0,1291998.0
224,1122923.0,752119.0,1122923.0,1242025.0,755164.0,1242025.0,1297827.0,750798.0,1297827.0
225,1169247.0,769391.0,1169247.0,1192622.0,769620.0,1192622.0,1204066.0,778975.0,1204066.0
226,1163192.0,759195.0,1163192.0,1260994.0,748846.0,1260994.0,1349915.0,755464.0,1349915.0
227,1138308.0,785145.0,1138308.0,1155001.0,787745.0,1155001.0,1264770.0,785684.0,1264770.0
228,1167440.0,753746.0,1167440.0,1210843.0,753639.0,1210843.0,1251642.0,752717.0,1251642.0
229,1156653.0,741744.0,1156653.0,1214719.0,738288.0,1214719.0,1356114.0,741984.0,1356114.0
230,1123257.0,686427.0,1123257.0,1312332.0,683999.0,1312332.0,1272638.0,687893.0,1272638.0
231,1133944.0,760757.0,1133944.0,1230283.0,744284.0,1230283.0,1186885.0,761296.0,1186885.0
232,1155428.0,747328.0,1155428.0,1252645.0,744703.0,1252645.0,1352295.0,742655.0,1352295.0
233,1148506.0,774518.0,1148506.0,1272765.0,769482.0,1272765.0,1326421.0,771655.0,1326421.0
234,1138522.0,769560.0,1138522.0,1200471.0,775828.0,1200471.0,1142199.0,766895.0,1142199.0
235,1202158.0,728503.0,1202158.0,1322178.0,719152.0,1322178.0,1367090.0,725271.0,1367090.0
236,1142448.0,771794.0,1142448.0,1244545.0,772444.0,1244545.0,1297429.0,771552.0,1297429.0
237,1122076.0,768386.0,1122076.0,1204696.0,762081.0,1204696.0,1305561.0,762049.0,1305561.0
238,1159301.0,760986.0,1159301.0,1223714.0,749577.0,1223714.0,1266494.0,755632.0,1266494.0
239,1173386.0,705254.0,1173386.0,1243800.0,705254.0,1243800.0,1275696.0,705254.0,1275696.0
240,1111817.0,767128.0,1111817.0,1202912.0,755537.0,1202912.0,1153664.0,757060.0,1153664.0
241,1148088.0,729002.0,1148088.0,1143222.0,739398.0,1143222.0,1281293.0,718746.0,1281293.0
242,1136611.0,743141.0,1136611.0,1261116.0,739786.0,1261116.0,1265186.0,741701.0,1265186.0
243,1160864.0,746796.0,1160864.0,1307150.0,738769.0,1307150.0,1350812.0,743257.0,1350812.0
244,1161732.0,769387.0,1161732.0,1189138.0,762486.0,1189138.0,1285060.0,765177.0,1285060.0
245,1165838.0,759082.0,1165838.0,1212438.0,752595.0,1212438.0,1315816.0,762038.0,1315816.0
246,1135387.0,763150.0,1135387.0,1257122.0,763150.0,1257122.0,1340694.0,763150.0,1340694.0
247,1140147.0,745418.0,1140147.0,1194003.0,725981.0,1194003.0,1288301.0,746638.0,1288301.0
